agb_t_ha,total_co2e_t
130,5227512.699933333
140,5629629.061466666
150,6031745.4229999995
160,6433861.784533333
170,6835978.146066666
180,7238094.507599999
190,7640210.869133332
200,8042327.230666664
210,8444443.592199998
220,8846559.953733332
230,9248676.315266667
240,9650792.676799998
250,10052909.038333332
260,10455025.399866667
270,10857141.7614
280,11259258.122933332
290,11661374.484466664
300,12063490.845999999
310,12465607.207533332
320,12867723.569066666
330,13269839.930599999
340,13671956.292133331
350,14074072.653666666
360,14476189.015199998
370,14878305.376733333
380,15280421.738266664
390,15682538.0998
400,16084654.461333329
410,16486770.822866663
420,16888887.184399996
430,17291003.545933332
440,17693119.907466665
450,18095236.268999998
460,18497352.630533334
470,18899468.992066663
480,19301585.353599995
490,19703701.71513333
500,20105818.076666664
510,20507934.438199997
