row_type,forest_area_ha,park_total_area_ha,pct_of_park_forested,agb_used_t_ha,carbon_aboveground_tC,carbon_aboveground_tCO2e,carbon_incl_roots_tC,carbon_incl_roots_tCO2e,area_uncertainty_pct,biomass_uncertainty_pct,combined_uncertainty_pct,conservative_estimate_tCO2e,agb_t_ha,total_co2e_t
summary,18817.45,21168,88.895738851096,310,2741702.465,10052909.038333332,3399711.0566,12465607.207533332,4.5,61.29032258064516,61.455297916774775,4804831.161008773,,
sensitivity,,,,,,,,,,,,,130,5227512.699933333
sensitivity,,,,,,,,,,,,,140,5629629.061466666
sensitivity,,,,,,,,,,,,,150,6031745.4229999995
sensitivity,,,,,,,,,,,,,160,6433861.784533333
sensitivity,,,,,,,,,,,,,170,6835978.146066666
sensitivity,,,,,,,,,,,,,180,7238094.507599999
sensitivity,,,,,,,,,,,,,190,7640210.869133332
sensitivity,,,,,,,,,,,,,200,8042327.230666664
sensitivity,,,,,,,,,,,,,210,8444443.592199998
sensitivity,,,,,,,,,,,,,220,8846559.953733332
sensitivity,,,,,,,,,,,,,230,9248676.315266667
sensitivity,,,,,,,,,,,,,240,9650792.676799998
sensitivity,,,,,,,,,,,,,250,10052909.038333332
sensitivity,,,,,,,,,,,,,260,10455025.399866667
sensitivity,,,,,,,,,,,,,270,10857141.7614
sensitivity,,,,,,,,,,,,,280,11259258.122933332
sensitivity,,,,,,,,,,,,,290,11661374.484466664
sensitivity,,,,,,,,,,,,,300,12063490.845999999
sensitivity,,,,,,,,,,,,,310,12465607.207533332
sensitivity,,,,,,,,,,,,,320,12867723.569066666
sensitivity,,,,,,,,,,,,,330,13269839.930599999
sensitivity,,,,,,,,,,,,,340,13671956.292133331
sensitivity,,,,,,,,,,,,,350,14074072.653666666
sensitivity,,,,,,,,,,,,,360,14476189.015199998
sensitivity,,,,,,,,,,,,,370,14878305.376733333
sensitivity,,,,,,,,,,,,,380,15280421.738266664
sensitivity,,,,,,,,,,,,,390,15682538.0998
sensitivity,,,,,,,,,,,,,400,16084654.461333329
sensitivity,,,,,,,,,,,,,410,16486770.822866663
sensitivity,,,,,,,,,,,,,420,16888887.184399996
sensitivity,,,,,,,,,,,,,430,17291003.545933332
sensitivity,,,,,,,,,,,,,440,17693119.907466665
sensitivity,,,,,,,,,,,,,450,18095236.268999998
sensitivity,,,,,,,,,,,,,460,18497352.630533334
sensitivity,,,,,,,,,,,,,470,18899468.992066663
sensitivity,,,,,,,,,,,,,480,19301585.353599995
sensitivity,,,,,,,,,,,,,490,19703701.71513333
sensitivity,,,,,,,,,,,,,500,20105818.076666664
sensitivity,,,,,,,,,,,,,510,20507934.438199997
